persona,age,employment_status,monthly_income,monthly_expenses,monthly_savings,emergency_fund,total_debt,investments,insurance_cover,financial_goal,savings_rate,expense_ratio,disposable_income,debt_to_income_ratio,emergency_fund_months,investment_ratio,insurance_ratio,net_monthly_cashflow,financial_health_score
Young Salaried,28,Salaried,68710.0,42600.0,10994.0,309195.0,141287.0,296827.0,9110946.0,Buy a Car,0.16,0.62,26110.0,0.17,7.26,0.36,11.05,15116.0,57.02
Disciplined Saver,35,Salaried,32293.0,13240.0,14855.0,361359.0,57297.0,534772.0,6723403.0,Wealth Creation,0.46,0.41,19053.0,0.15,27.29,1.38,17.35,4198.0,83.99
Young Salaried,30,Salaried,74892.0,30706.0,16476.0,155775.0,267424.0,224676.0,7989479.0,Buy a Car,0.22,0.41,44186.0,0.3,5.07,0.25,8.89,27710.0,54.51
Retired,61,Retired,53642.0,41304.0,7510.0,362084.0,97647.0,1705816.0,9082663.0,Retirement,0.14,0.77,12338.0,0.15,8.77,2.65,14.11,4828.0,66.43
Mid Career,35,Salaried,162337.0,66558.0,55195.0,1042204.0,2872397.0,1558435.0,26551840.0,Children Education,0.34,0.41,95779.0,1.47,15.66,0.8,13.63,40584.0,67.61
Student,19,Student,9841.0,6889.0,1476.0,5019.0,40359.0,4724.0,347190.0,Higher Education,0.15,0.7,2952.0,0.34,0.73,0.04,2.94,1476.0,37.34
Mid Career,40,Salaried,119907.0,45565.0,28778.0,844145.0,1909071.0,935275.0,21942981.0,Children Education,0.24,0.38,74342.0,1.33,18.53,0.65,15.25,45564.0,63.93
Business Owner,41,Business,848837.0,577209.0,127326.0,6646394.0,3409959.0,24140924.0,134455781.0,Wealth Creation,0.15,0.68,271628.0,0.33,11.51,2.37,13.2,144302.0,69.37
Retired,63,Retired,139866.0,100704.0,32169.0,1632236.0,468405.0,2920402.0,15995076.0,Retirement,0.23,0.72,39162.0,0.28,16.21,1.74,9.53,6993.0,69.51
Young Salaried,23,Salaried,74270.0,41591.0,23766.0,303764.0,204664.0,151511.0,11630682.0,Buy a Car,0.32,0.56,32679.0,0.23,7.3,0.17,13.05,8913.0,65.82
Mid Career,45,Salaried,69471.0,25010.0,22925.0,285526.0,381971.0,300115.0,15922753.0,Buy a House,0.33,0.36,44461.0,0.46,11.42,0.36,19.1,21536.0,74.33
Freelancer,43,Freelancer,157785.0,78892.0,37868.0,837838.0,132999.0,738434.0,17552003.0,Emergency Fund,0.24,0.5,78893.0,0.07,10.62,0.39,9.27,41025.0,67.07
High Income High Debt,38,Business,812160.0,576634.0,73094.0,1112659.0,16921567.0,6334848.0,125722368.0,Debt Reduction,0.09,0.71,235526.0,1.74,1.93,0.65,12.9,162432.0,33.34
Freelancer,42,Freelancer,140718.0,91467.0,32365.0,997691.0,225965.0,422154.0,22593682.0,Wealth Creation,0.23,0.65,49251.0,0.13,10.91,0.25,13.38,16886.0,67.86
Mid Career,44,Salaried,173051.0,69220.0,55376.0,1213088.0,982138.0,1598991.0,33537284.0,Buy a House,0.32,0.4,103831.0,0.47,17.53,0.77,16.15,48455.0,75.73
Young Salaried,30,Salaried,42272.0,29590.0,13950.0,233764.0,188671.0,197833.0,4479141.0,Buy a Car,0.33,0.7,12682.0,0.37,7.9,0.39,8.83,-1268.0,62.77
Young Salaried,29,Salaried,35149.0,24253.0,5624.0,177502.0,2197.0,37961.0,4108215.0,Buy a Car,0.16,0.69,10896.0,0.01,7.32,0.09,9.74,5272.0,56.3
Mid Career,31,Salaried,171145.0,95841.0,49632.0,936163.0,1870035.0,1745679.0,35550239.0,Buy a House,0.29,0.56,75304.0,0.91,9.77,0.85,17.31,25672.0,66.08
Freelancer,27,Freelancer,179508.0,125656.0,23336.0,561860.0,94993.0,969343.0,21304009.0,Emergency Fund,0.13,0.7,53852.0,0.04,4.47,0.45,9.89,30516.0,51.02
Wealth Builder,60,Business,359698.0,154670.0,125894.0,3672517.0,467270.0,12603818.0,91464007.0,Wealth Creation,0.35,0.43,205028.0,0.11,23.74,2.92,21.19,79134.0,86.65
Freelancer,28,Freelancer,70687.0,53015.0,17672.0,260835.0,188348.0,330815.0,8143142.0,Wealth Creation,0.25,0.75,17672.0,0.22,4.92,0.39,9.6,0.0,54.56
Young Salaried,28,Salaried,60593.0,36962.0,15754.0,133305.0,243847.0,65440.0,5984165.0,Wealth Creation,0.26,0.61,23631.0,0.34,3.61,0.09,8.23,7877.0,51.86
Mid Career,39,Salaried,149711.0,83838.0,35931.0,685676.0,1079774.0,1329434.0,22492581.0,Children Education,0.24,0.56,65873.0,0.6,8.18,0.74,12.52,29942.0,61.47
